"Date","Open","High","Low","Close","Volume","OpenInt"
12/22/94,64.560,64.560,64.560,64.560,28034,73861
12/23/94,64.490,64.490,64.490,64.490,6301,73975
12/27/94,64.540,64.740,64.540,64.740,5150,74147
12/28/94,66.000,66.130,66.000,66.130,48671,73671
12/29/94,65.630,65.630,65.630,65.630,31233,70876
12/30/94,65.920,65.920,65.920,65.920,9355,69792
01/03/95,65.580,65.580,65.580,65.580,22134,71231
01/04/95,65.390,65.390,65.390,65.390,27410,71688
01/05/95,65.750,65.750,65.750,65.750,24562,73596
01/06/95,65.300,65.300,65.170,65.170,43309,76950
01/09/95,65.350,66.420,65.350,66.420,59590,76635
01/10/95,66.280,66.560,66.280,66.560,39432,76724
01/11/95,66.400,66.400,66.400,66.400,22055,76530
01/12/95,66.590,66.590,66.590,66.590,39325,79083
01/13/95,66.350,66.350,66.350,66.350,28367,78239
01/16/95,66.400,66.400,66.400,66.400,12983,78326
01/17/95,66.420,66.420,66.420,66.420,23202,79571
01/18/95,66.360,66.360,66.360,66.360,32360,80774
01/19/95,67.280,67.280,67.280,67.280,46018,81613
01/20/95,67.430,67.430,67.430,67.430,36418,82456
01/23/95,67.390,67.390,67.390,67.390,29039,83521
01/24/95,67.310,67.310,67.310,67.310,17507,83688
01/25/95,67.080,67.080,67.080,67.080,38004,83054
01/26/95,67.080,67.080,67.080,67.080,22529,82904
01/27/95,67.100,67.100,67.100,67.100,32141,83165
01/30/95,67.420,67.490,67.420,67.490,30235,84478
01/31/95,66.700,66.700,66.700,66.700,49370,83711
02/01/95,66.700,66.820,66.700,66.820,21723,83262
02/02/95,66.960,66.960,66.960,66.960,27477,83466
02/03/95,66.440,66.440,66.440,66.440,42409,85533
02/06/95,66.260,66.260,66.260,66.260,40975,87429
02/07/95,66.060,66.060,65.990,66.060,34227,87437
02/08/95,66.080,66.360,66.080,66.260,27931,85988
02/09/95,66.310,66.550,66.310,66.400,24109,85295
02/10/95,66.800,66.820,66.800,66.820,43336,87128
02/13/95,67.000,67.000,66.780,66.780,22941,84785
02/14/95,66.900,67.380,66.900,67.280,48229,88408
02/15/95,67.280,67.280,67.280,67.280,34351,89124
02/16/95,67.800,68.050,67.800,68.050,49854,96206
02/17/95,68.120,68.270,68.120,68.270,37777,97431
02/21/95,68.750,68.750,68.750,68.750,39540,101381
02/22/95,68.500,68.900,68.500,68.800,50994,102915
02/23/95,68.700,68.890,68.700,68.890,31791,104621
